"Empath_lexicon","Target","n","r","p_raw","p_FDR","Sig_FDR"
"weapon","Punitiveness",496,0.022,0.623365950136129,0.810375735176967,""
"weapon","Hostile Aggression",496,-0.005,0.908608689063896,0.951225769388169,""
"weapon","Crime Concerns",496,0.084,0.0610236901753853,0.377933873115613,""
"weapon","RWA",496,0.056,0.21551912561133,0.429624148814462,""
"weapon","Racial Resentment",496,0.045,0.311951068607638,0.506920486487411,""
"fight","Punitiveness",496,0.067,0.137431520132527,0.297768293620475,""
"fight","Hostile Aggression",496,-0.021,0.635351282420376,0.825956667146488,""
"fight","Crime Concerns",496,0.04,0.371010282587942,0.742020565175883,""
"fight","RWA",496,0.06,0.180603051039925,0.399312094478365,""
"fight","Racial Resentment",496,0.061,0.177035686046448,0.328780559800546,""
"kill","Punitiveness",496,0.163,0.000267175927151669,0.00231552470198113,"**"
"kill","Hostile Aggression",496,0.121,0.00680368773046842,0.0589652936640596,""
"kill","Crime Concerns",496,0.066,0.139573176725497,0.604817099143822,""
"kill","RWA",496,0.091,0.0439481622614305,0.163236031256742,""
"kill","Racial Resentment",496,0.133,0.00293057581912877,0.0258504352956964,"*"
"trust","Punitiveness",496,0.061,0.176646303332914,0.328057420475412,""
"trust","Hostile Aggression",496,0.004,0.931772883571917,0.951225769388169,""
"trust","Crime Concerns",496,0.02,0.664723521323872,0.909621660758982,""
"trust","RWA",496,0.008,0.865640827843161,0.865640827843161,""
"trust","Racial Resentment",496,0.03,0.503407015647224,0.656995796253628,""
"achievement","Punitiveness",496,-0.109,0.0154590212235573,0.0669890919687482,""
"achievement","Hostile Aggression",496,-0.102,0.0235139133560978,0.119008139284861,""
"achievement","Crime Concerns",496,-0.05,0.268027451657278,0.688480308123818,""
"achievement","RWA",496,-0.1,0.0258311609728504,0.163236031256742,""
"achievement","Racial Resentment",496,-0.077,0.0855413364174102,0.203054507595625,""
